id,name,sectype,currency,exchange,minvol,maxvol,meanvol,medianvol
230,AHACU,,,,0.0457083,0.0651121,0.0507598,0.0493802
231,AHACW,,,,,,,
232,AHC,,,,0.171408,2.15064,0.507534,0.393234
233,AHCO,,,,0.0207615,1.21866,0.431576,0.46001
234,AHH,,,,0.0824231,1.81544,0.275123,0.212026
235,AHH-A,,,,,,,
236,AHL-C,,,,,,,
237,AHL-D,,,,,,,
238,AHL-E,,,,,,,
239,AHPI,,,,0.136335,5.32164,0.738409,0.613997
240,AHT,,,,0.111447,9.47748,0.550732,0.340771
241,AHT-D,,,,,,,
242,AHT-F,,,,,,,
243,AHT-G,,,,,,,
244,AHT-H,,,,,,,
245,AHT-I,,,,,,,
246,AIA,,,,0.0697323,0.686281,0.193305,0.172856
247,AIC,,,,0.050427,3.37715,0.25333,0.120124
248,AIEQ,,,,0.0685704,0.78686,0.217854,0.200327
249,AIF,,,,0.0371841,1.12626,0.118993,0.0972267
250,AIG,,,,0.07592,12.5276,0.438158,0.258444
251,AIG.W,,,,,,,
252,AIG-A,,,,,,,
253,AIH,,,,0.380198,1.05885,0.650422,0.589133
254,AIHS,,,,0.287966,3.7501,1.25898,1.14278
255,AIIQ,,,,0.0517099,0.724005,0.194627,0.132285
256,AIKI,,,,0.48942,4.77635,1.20203,0.902633
257,AIM,,,,0.534235,4.5632,1.41909,0.993359
258,AIMC,,,,0.124861,1.7052,0.407886,0.331998
259,AIN,,,,0.115861,1.42558,0.335501,0.284057
260,AINC,,,,0.191747,2.10603,0.626844,0.501382
261,AINV,,,,0.0739846,1.96396,0.334266,0.238703
262,AIO,,,,0.074914,1.26088,0.338,0.232922
263,AIQ,,,,0.100576,0.707736,0.242802,0.218422
264,AIR,,,,0.0810924,2.18163,0.444829,0.388848
265,AIRG,,,,0.229856,1.56025,0.621182,0.55397
266,AIRI,,,,0.148374,1.9901,0.641494,0.594302
267,AIRR,,,,0.102248,0.944728,0.223302,0.194311
268,AIRT,,,,0.0850003,2.50805,0.637091,0.519667
269,AIRTW,,,,,,,
270,AIT,,,,0.104513,1.93587,0.34488,0.298729
271,AIV,,,,0.0812718,1.98135,0.274069,0.196198
272,AIW,,,,0.0441064,4.05263,0.242095,0.134919
273,AIZ,,,,0.0788012,1.77928,0.270113,0.208427
274,AIZN,,,,,,,
275,AIZP,,,,,,,
276,AJA.U,,,,,,,
277,AJG,,,,0.0613649,2.24076,0.236111,0.181304
278,AJRD,,,,0.111439,1.8234,0.415188,0.354323
279,AJX,,,,0.0608022,2.96113,0.279061,0.176984
280,AJXA,,,,0.0422778,1.42503,0.179392,0.0965428
281,AKAM,,,,0.128427,2.15962,0.555299,0.444844
282,AKBA,,,,0.20526,3.90711,0.746116,0.614435
283,AKER,,,,0.272485,9.04981,1.27813,1.00139
284,AKO.A,,,,,,,
285,AKO.B,,,,,,,
286,AKR,,,,0.0741358,1.30351,0.272415,0.221766
287,AKRO,,,,0.33876,2.24025,0.898671,0.76387
288,AKTS,,,,0.19075,2.26549,0.703431,0.654286
289,AKTX,,,,0.185664,10.6968,1.20115,0.766616
290,AKU,,,,0.111762,2.1377,0.560225,0.468196
291,AKUS,,,,0.433403,0.953308,0.715953,0.793398
292,AL,,,,0.13136,2.37343,0.338157,0.275724
293,AL-A,,,,,,,
294,ALAC,,,,0.0200436,0.357383,0.0904054,0.0525684
295,ALACR,,,,0.625087,5.29933,2.12481,1.60448
296,ALACW,,,,,,,
297,ALB,,,,0.0758178,2.90443,0.349334,0.305723
298,ALBO,,,,0.187532,13.5421,0.868174,0.635141
299,ALC,,,,0.121357,0.853536,0.289255,0.243523
300,ALCO,,,,0.0828502,1.49583,0.340489,0.307812
301,ALDX,,,,0.270873,2.57188,0.765427,0.63528
302,ALE,,,,0.0759664,1.18183,0.216705,0.184767
303,ALEC,,,,0.397878,1.33589,0.789882,0.752025
304,ALEX,,,,0.0836579,1.75256,0.310928,0.24737
305,ALFA,,,,0.0581869,0.77248,0.168576,0.1427
306,ALG,,,,0.0931452,1.40466,0.333394,0.287295
307,ALGM,,,,0.992819,0.99394,0.993379,0.993379
308,ALGN,,,,0.134348,1.93214,0.526502,0.431359
309,ALGS,,,,0.898936,1.00531,0.966595,0.971364
310,ALGT,,,,0.0947868,1.8459,0.391087,0.330893
311,ALI-A,,,,,,,
312,ALI-B,,,,,,,
313,ALI-E,,,,,,,
314,ALIM,,,,0.169446,10.9409,0.885337,0.629906
315,ALJJ,,,,0.0974502,2.35131,0.766807,0.614198
316,ALK,,,,0.133291,2.89581,0.4202,0.356587
317,ALKS,,,,0.163816,3.63287,0.56534,0.479865
318,ALL,,,,0.0674895,1.99671,0.266018,0.208912
319,ALL-B,,,,,,,
320,ALLE,,,,0.0761556,0.985525,0.23564,0.208829
321,ALL-G,,,,,,,
322,ALL-H,,,,,,,
323,ALL-I,,,,,,,
324,ALLK,,,,0.3698,2.37685,0.782554,0.62625
325,ALLO,,,,0.314829,1.09716,0.5578,0.501475
326,ALLT,,,,0.108366,1.33508,0.448136,0.412295
327,ALLY,,,,0.114188,1.66131,0.308205,0.2503
328,ALL-Y,,,,,,,
329,ALNA,,,,0.371174,2.85451,1.00861,0.837972
330,ALNY,,,,0.234827,1.7438,0.541886,0.496364
331,ALOT,,,,0.0636195,1.62216,0.518925,0.442889
332,ALPN,,,,0.36419,2.64606,0.785835,0.697673
333,ALP-Q,,,,,,,
334,ALRM,,,,0.159415,1.29414,0.436892,0.400404
335,ALRN,,,,0.385494,2.38378,1.1402,1.04823
336,ALRS,,,,0.0156933,3.39928,0.272142,0.179095
337,ALSK,,,,0.103266,2.01263,0.481212,0.404379
338,ALSN,,,,0.104438,0.910197,0.274617,0.244222
339,ALT,,,,0.460924,14.1775,1.54745,0.930633
340,ALT.W,,,,,,,
341,ALTA,,,,0.110839,3.19777,0.389627,0.263095
